Province,District,Municipality
Koshi Province,Taplejung,Meringden Rural Municipality
Koshi Province,Taplejung,Sidingwa Rural Municipality
Koshi Province,Taplejung,Phaktanglung Rural Municipality
Koshi Province,Taplejung,Maiwa Khola Rural Municipality
Koshi Province,Taplejung,Mikwa Khola Rural Municipality
Koshi Province,Terhathum,Myanglung Municipality
Koshi Province,Terhathum,Laligurans Municipality
Koshi Province,Terhathum,Aathrai Rural Municipality
Koshi Province,Terhathum,Phedap Rural Municipality
Koshi Province,Terhathum,Chhathar Rural Municipality
Koshi Province,Terhathum,Menchayayem Rural Municipality
Koshi Province,Udayapur,Triyuga Municipality
Koshi Province,Udayapur,Katari Municipality
Koshi Province,Udayapur,Chaudandigadhi Municipality
Koshi Province,Udayapur,Belaka Municipality
Koshi Province,Udayapur,Udayapurgadhi Rural Municipality
Koshi Province,Udayapur,Rautamai Rural Municipality
Koshi Province,Udayapur,Tapli Rural Municipality
Koshi Province,Udayapur,Limchungbung Rural Municipality
Madhesh Province,Parsa,Birgunj Metropolitan City
Madhesh Province,Parsa,Bahudarmai Municipality
Madhesh Province,Parsa,Parsagadhi Municipality
Madhesh Province,Parsa,Pokhariya Municipality
Madhesh Province,Parsa,Bindabasini Rural Municipality
Madhesh Province,Parsa,Dhobini Rural Municipality
Madhesh Province,Parsa,Chhipaharmai Rural Municipality
Madhesh Province,Parsa,Jagarnathpur Rural Municipality
Madhesh Province,Parsa,Jirabhawani Rural Municipality
Madhesh Province,Parsa,Kalikamai Rural Municipality
Madhesh Province,Parsa,Pakaha Mainpur Rural Municipality
Madhesh Province,Parsa,Paterwa Sugauli Rural Municipality
Madhesh Province,Parsa,Sakhuwa Prasauni Rural Municipality
Madhesh Province,Parsa,Thori Rural Municipality
Madhesh Province,Bara,Kalaiya Sub-Metropolitan City
Madhesh Province,Bara,Jitpur Simara Sub-Metropolitan City
Madhesh Province,Bara,Kolhabi Municipality
Madhesh Province,Bara,Nijgadh Municipality
Madhesh Province,Bara,Mahagadhimai Municipality
Madhesh Province,Bara,Simaraungadh Municipality
Madhesh Province,Bara,Pacharauta Municipality
Madhesh Province,Bara,Pheta Rural Municipality
Madhesh Province,Bara,Bishrampur Rural Municipality
Madhesh Province,Bara,Prasauni Rural Municipality
Madhesh Province,Bara,Adarsh Kotwal Rural Municipality
Madhesh Province,Bara,Karaiyamai Rural Municipality
Madhesh Province,Bara,Devtal Rural Municipality
Madhesh Province,Bara,Parwanipur Rural Municipality
Madhesh Province,Bara,Baragadhi Rural Municipality
Madhesh Province,Bara,Suwarna Rural Municipality
Madhesh Province,Rautahat,Baudhimai Municipality
Madhesh Province,Rautahat,Brindaban Municipality
Madhesh Province,Rautahat,Chandrapur Municipality
Madhesh Province,Rautahat,Dewahi Gonahi Municipality
Madhesh Province,Rautahat,Gadhimai Municipality
Madhesh Province,Rautahat,Guruda Municipality
Madhesh Province,Rautahat,Gaur Municipality
Madhesh Province,Rautahat,Gujara Municipality
Madhesh Province,Rautahat,Ishanath Municipality
Madhesh Province,Rautahat,Katahariya Municipality
Madhesh Province,Rautahat,Madhav Narayan Municipality
Madhesh Province,Rautahat,Maulapur Municipality
Madhesh Province,Rautahat,Paroha Municipality
Madhesh Province,Rautahat,Phatuwa Bijayapur Municipality
Madhesh Province,Rautahat,Rajdevi Municipality
Madhesh Province,Rautahat,Rajpur Municipality
Madhesh Province,Rautahat,Durga Bhagwati Rural Municipality
Madhesh Province,Rautahat,Yamunamai Rural Municipality
Madhesh Province,Sarlahi,Bagmati Municipality
Madhesh Province,Sarlahi,Balara Municipality
Madhesh Province,Sarlahi,Barahathwa Municipality
Madhesh Province,Sarlahi,Godaita Municipality
Madhesh Province,Sarlahi,Hariwan Municipality
Madhesh Province,Sarlahi,Haripur Municipality
Madhesh Province,Sarlahi,Haripurwa Municipality
Madhesh Province,Sarlahi,Ishowrpur Municipality
Madhesh Province,Sarlahi,Kabilasi Municipality
Madhesh Province,Sarlahi,Lalbandi Municipality
Madhesh Province,Sarlahi,Malangawa Municipality
Madhesh Province,Sarlahi,Basbariya Rural Municipality
